Treat,Temp,Rep,Vial,Sex,Thorax
C,18,2,1,F,0.941
C,18,2,1,F,0.797
C,18,2,1,F,0.921
C,18,2,1,F,0.861
C,18,2,1,F,1
C,18,2,1,F,0.895
C,18,2,1,F,1.102
C,18,2,1,F,0.95
C,18,2,1,F,1.02
C,18,2,1,F,1
C,18,2,1,M,0.809
C,18,2,1,M,0.84
C,18,2,1,M,0.828
C,18,2,1,M,0.825
C,18,2,1,M,0.873
C,18,2,1,M,0.872
C,18,2,1,M,0.851
C,18,2,1,M,0.851
C,18,2,1,M,0.825
C,18,2,1,M,0.866
C,18,2,2,F,0.966
C,18,2,2,F,0.864
C,18,2,2,F,0.934
C,18,2,2,F,0.941
C,18,2,2,F,0.961
C,18,2,2,F,0.928
C,18,2,2,F,0.859
C,18,2,2,F,0.99
C,18,2,2,F,0.97
C,18,2,2,F,0.891
C,18,2,2,M,0.842
C,18,2,2,M,0.885
C,18,2,2,M,0.862
C,18,2,2,M,0.839
C,18,2,2,M,0.738
C,18,2,2,M,0.897
C,18,2,2,M,0.869
C,18,2,2,M,0.884
C,18,2,2,M,0.881
C,18,2,2,M,0.876
C,18,2,3,F,0.995
C,18,2,3,F,0.924
C,18,2,3,F,0.975
C,18,2,3,F,0.92
C,18,2,3,F,0.997
C,18,2,3,F,0.905
C,18,2,3,F,0.955
C,18,2,3,M,0.857
C,18,2,3,M,0.82
C,18,2,3,M,0.839
C,18,2,3,M,0.814
C,18,2,3,M,0.809
C,18,2,3,M,0.825
C,18,2,3,M,0.787
C,18,2,3,M,0.874
C,18,2,3,M,0.765
C,18,2,3,M,0.874
E,18,2,1,F,0.866
E,18,2,1,F,0.913
E,18,2,1,F,0.874
E,18,2,1,F,0.915
E,18,2,1,F,0.858
E,18,2,1,F,0.903
E,18,2,1,F,0.832
E,18,2,1,F,0.906
E,18,2,1,F,0.926
E,18,2,1,F,0.869
E,18,2,1,M,0.831
E,18,2,1,M,0.742
E,18,2,1,M,0.87
E,18,2,1,M,0.707
E,18,2,1,M,0.834
E,18,2,1,M,0.844
E,18,2,1,M,0.802
E,18,2,1,M,0.78
E,18,2,1,M,0.822
E,18,2,1,M,0.868
E,18,2,2,F,0.926
E,18,2,2,F,0.873
E,18,2,2,M,0.842
E,18,2,2,M,0.864
E,18,2,2,M,0.8
E,18,2,2,M,0.872
E,18,2,2,M,0.829
E,18,2,2,M,0.783
E,18,2,2,M,0.824
E,18,2,2,M,0.804
E,18,2,2,M,0.832
E,18,2,2,M,0.828
E,18,2,3,F,0.855
E,18,2,3,F,0.918
E,18,2,3,F,0.814
E,18,2,3,F,0.956
E,18,2,3,F,0.956
E,18,2,3,F,0.879
E,18,2,3,F,0.891
E,18,2,3,F,0.952
E,18,2,3,F,0.928
E,18,2,3,F,0.945
E,18,2,3,M,0.889
E,18,2,3,M,0.832
E,18,2,3,M,0.843
E,18,2,3,M,0.838
E,18,2,3,M,0.857
E,18,2,3,M,0.793
E,18,2,3,M,0.757
E,18,2,3,M,0.864
E,18,2,3,M,0.824
E,18,2,3,M,0.879
L,18,2,1,F,1.056
L,18,2,1,F,1.045
L,18,2,1,F,1.054
L,18,2,1,F,1
L,18,2,1,F,1.038
L,18,2,1,F,0.978
L,18,2,1,F,0.961
L,18,2,1,F,1.016
L,18,2,1,F,1.071
L,18,2,1,F,1.079
L,18,2,1,M,0.731
L,18,2,1,M,0.986
L,18,2,1,M,0.914
L,18,2,1,M,0.883
L,18,2,1,M,0.944
L,18,2,1,M,0.935
L,18,2,1,M,0.975
L,18,2,1,M,0.9
L,18,2,1,M,0.92
L,18,2,1,M,0.926
L,18,2,2,F,0.889
L,18,2,2,F,0.926
L,18,2,2,F,0.874
L,18,2,2,F,1
L,18,2,2,F,1.034
L,18,2,2,F,0.979
L,18,2,2,F,1.021
L,18,2,2,F,0.889
L,18,2,2,F,0.96
L,18,2,2,F,0.954
L,18,2,2,M,0.836
L,18,2,2,M,0.893
L,18,2,2,M,0.817
L,18,2,2,M,0.835
L,18,2,2,M,0.821
L,18,2,2,M,0.827
L,18,2,2,M,0.887
L,18,2,2,M,0.862
L,18,2,2,M,0.869
L,18,2,2,M,0.859
L,18,2,3,F,0.987
L,18,2,3,F,1.023
L,18,2,3,F,0.968
L,18,2,3,F,1.026
L,18,2,3,F,0.865
L,18,2,3,F,1.071
L,18,2,3,F,1.048
L,18,2,3,F,0.987
L,18,2,3,F,0.917
L,18,2,3,F,0.953
L,18,2,3,M,0.893
L,18,2,3,M,0.884
L,18,2,3,M,0.809
L,18,2,3,M,0.926
L,18,2,3,M,0.734
L,18,2,3,M,0.882
L,18,2,3,M,0.87
L,18,2,3,M,0.907
L,18,2,3,M,0.904
L,18,2,3,M,0.846
LHm,18,2,1,F,0.899
LHm,18,2,1,F,1.038
LHm,18,2,1,F,1
LHm,18,2,1,F,0.958
LHm,18,2,1,F,0.819
LHm,18,2,1,F,1.06
LHm,18,2,1,F,0.857
LHm,18,2,1,F,0.995
LHm,18,2,1,F,0.885
LHm,18,2,1,F,0.991
LHm,18,2,1,M,0.858
LHm,18,2,1,M,0.85
LHm,18,2,1,M,0.906
LHm,18,2,1,M,0.905
LHm,18,2,1,M,0.851
LHm,18,2,1,M,0.811
LHm,18,2,1,M,0.854
LHm,18,2,1,M,0.863
LHm,18,2,1,M,0.778
LHm,18,2,1,M,0.801
LHm,18,2,2,F,1.014
LHm,18,2,2,F,0.932
LHm,18,2,2,F,0.972
LHm,18,2,2,F,1.039
LHm,18,2,2,F,0.992
LHm,18,2,2,F,1.058
LHm,18,2,2,F,0.901
LHm,18,2,2,F,0.959
LHm,18,2,2,F,0.901
LHm,18,2,2,F,0.931
LHm,18,2,2,M,0.782
LHm,18,2,2,M,0.88
LHm,18,2,2,M,0.884
LHm,18,2,2,M,0.848
LHm,18,2,2,M,0.9
LHm,18,2,2,M,0.848
LHm,18,2,2,M,0.866
LHm,18,2,2,M,0.816
LHm,18,2,2,M,0.846
LHm,18,2,2,M,0.82
LHm,18,2,3,F,0.966
LHm,18,2,3,F,0.968
LHm,18,2,3,F,0.964
LHm,18,2,3,F,1.026
